# Forces        
# CofR          : (0.000000000e+00 0.000000000e+00 0.000000000e+00)
# Time          forces(pressure viscous porous)	moments(pressure viscous porous)
2.32            	((-2.598527772e+01 1.392320688e+00 -2.649696176e-16) (5.685751218e+00 -9.608598791e-01 9.729985770e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-3.480801720e-01 -6.496319429e+00 2.314205236e+01) (2.402149698e-01 1.421437804e+00 1.867510296e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.36            	((-2.678839839e+01 2.238891370e+00 -2.483912387e-16) (5.659309991e+00 -1.000651741e+00 8.692178638e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-5.597228424e-01 -6.697099597e+00 2.451008240e+01) (2.501629352e-01 1.414827498e+00 1.927177897e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.4             	((-2.723173430e+01 3.073340060e+00 -2.272889404e-16) (5.594381713e+00 -1.032478332e+00 7.467904197e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-7.683350149e-01 -6.807933574e+00 2.579780574e+01) (2.581195830e-01 1.398595428e+00 1.990888513e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.44            	((-2.738371783e+01 3.908050256e+00 -2.044086949e-16) (5.465233062e+00 -1.061874571e+00 6.244313722e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-9.770125640e-01 -6.845929458e+00 2.688130472e+01) (2.654686427e-01 1.366308265e+00 2.057177461e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.48            	((-2.700617460e+01 4.752229426e+00 -1.836231632e-16) (5.271209029e+00 -1.096688426e+00 5.191905749e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.188057357e+00 -6.751543649e+00 2.770121617e+01) (2.741721066e-01 1.317802257e+00 2.126083537e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.52            	((-2.612938878e+01 5.421837272e+00 -1.683128189e-16) (5.032080728e+00 -1.144595923e+00 4.464133333e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.355459318e+00 -6.532347195e+00 2.832126850e+01) (2.861489807e-01 1.258020182e+00 2.203936333e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.56            	((-2.498808019e+01 5.809239919e+00 -1.604114543e-16) (4.786722462e+00 -1.193356878e+00 4.140509504e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.452309980e+00 -6.247020046e+00 2.884115108e+01) (2.983392196e-01 1.196680616e+00 2.289713960e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.6             	((-2.382940702e+01 5.902994044e+00 -1.595737630e-16) (4.568287187e+00 -1.223739891e+00 4.220177202e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.475748511e+00 -5.957351755e+00 2.930422913e+01) (3.059349727e-01 1.142071797e+00 2.378994530e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.64            	((-2.285594254e+01 5.940399335e+00 -1.636585689e-16) (4.393260854e+00 -1.216273897e+00 4.608005083e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.485099834e+00 -5.713985634e+00 2.980613508e+01) (3.040684743e-01 1.098315214e+00 2.467422341e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.68            	((-2.217716577e+01 5.905904360e+00 -1.705598218e-16) (4.272554434e+00 -1.164346031e+00 5.193115456e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.476476090e+00 -5.544291442e+00 3.029423283e+01) (2.910865078e-01 1.068138608e+00 2.547314679e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.72            	((-2.166535836e+01 5.815488163e+00 -1.780417395e-16) (4.204723967e+00 -1.080109209e+00 5.821561812e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.453872041e+00 -5.416339591e+00 3.067455419e+01) (2.700273021e-01 1.051180992e+00 2.611305736e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.76            	((-2.130451088e+01 5.783061288e+00 -1.844810091e-16) (4.177650312e+00 -9.847862008e-01 6.400695113e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.445765322e+00 -5.326127719e+00 3.092951265e+01) (2.461965502e-01 1.044412578e+00 2.657927760e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.8             	((-2.113058578e+01 5.845718925e+00 -1.889915850e-16) (4.173407018e+00 -8.914586979e-01 6.859148083e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.461429731e+00 -5.282646445e+00 3.106318100e+01) (2.228646745e-01 1.043351755e+00 2.689907027e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.84            	((-2.098954804e+01 5.953345364e+00 -1.909491117e-16) (4.185788639e+00 -8.127853510e-01 7.143824600e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.488336341e+00 -5.247387010e+00 3.109379781e+01) (2.031963378e-01 1.046447160e+00 2.701225341e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.88            	((-2.092922429e+01 6.123573980e+00 -1.904839354e-16) (4.199759092e+00 -7.566445336e-01 7.260762416e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.530893495e+00 -5.232306073e+00 3.105115741e+01) (1.891611334e-01 1.049939773e+00 2.697165894e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.92            	((-2.092442247e+01 6.327497425e+00 -1.881895947e-16) (4.206937876e+00 -7.229446559e-01 7.238320745e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.581874356e+00 -5.231105618e+00 3.095487163e+01) (1.807361640e-01 1.051734469e+00 2.682444504e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
2.96            	((-2.097272262e+01 6.544098771e+00 -1.849052844e-16) (4.203335936e+00 -7.098421417e-01 7.123313564e-17) (0.000000000e+00 0.000000000e+00 0.000000000e+00)) ((-1.636024693e+00 -5.243180654e+00 3.082594086e+01) (1.774605354e-01 1.050833984e+00 2.661795387e+00) (0.000000000e+00 0.000000000e+00 0.000000000e+00))
